Year,State,Energy Source,"Sum of CO2
(Metric Tons)","Sum of SO2
(Metric Tons)","Sum of NOx
(Metric Tons)"
1990,AK,All Sources,8417618,37482,25124
1990,AK,Coal,2936718,28046,11780
1990,AK,Natural Gas,4805316,22,11076
1990,AK,Other,0,1968,458
1990,AK,Petroleum,675584,7445,1808
1990,AL,All Sources,105872126,1011059,436838
1990,AL,Coal,103158948,970457,420795
1990,AL,Natural Gas,2225046,10,4418
1990,AL,Other,31924,37656,11106
1990,AL,Petroleum,456208,2938,521
1990,AR,All Sources,46851604,154930,218794
1990,AR,Coal,40701764,133077,197518
1990,AR,Natural Gas,5956648,29,14669
1990,AR,Other,31922,21318,6424
1990,AR,Petroleum,161270,506,184
1990,AZ,All Sources,66222426,229375,298159
1990,AZ,Coal,63455592,226862,290670
1990,AZ,Natural Gas,2541828,12,6864
1990,AZ,Other,0,1688,290
1990,AZ,Petroleum,225006,813,336
1990,CA,All Sources,105311286,163573,255904
1990,CA,Coal,7709620,63726,32146
1990,CA,Geothermal,721338,0,0
1990,CA,Natural Gas,85786660,412,182489
1990,CA,Other,964146,6714,23726
1990,CA,Petroleum,10129522,92720,17543
1990,CO,All Sources,63034170,186330,292087
1990,CO,Coal,61227856,186118,288048
1990,CO,Natural Gas,1756696,2,3583
1990,CO,Other,2260,106,402
1990,CO,Petroleum,47358,106,54
1990,CT,All Sources,24206536,104469,63024
1990,CT,Coal,7120938,22254,28577
1990,CT,Natural Gas,1395286,8,3216
1990,CT,Other,925526,1349,4620
1990,CT,Petroleum,14764786,80858,26611
1990,DC,All Sources,819448,4606,850
1990,DC,Petroleum,819448,4606,850
1990,DE,All Sources,17769758,160101,54413
1990,DE,Coal,10857648,76980,43407
1990,DE,Natural Gas,1239380,4,2002
1990,DE,Other,0,324,0
1990,DE,Petroleum,5672730,82792,9005
1990,FL,All Sources,183110474,1265523,579258
1990,FL,Coal,114912588,872764,433595
1990,FL,Natural Gas,22530544,113,51455
1990,FL,Other,2676660,56315,18335
1990,FL,Petroleum,42990682,336329,75872
1990,GA,All Sources,135705386,1697013,612528
1990,GA,Coal,130343158,1610022,583961
1990,GA,Natural Gas,2160264,8,4452
1990,GA,Other,621112,60570,20088
1990,GA,Petroleum,2580852,26414,4028
1990,HI,All Sources,16127010,70429,29776
1990,HI,Coal,12690,156,52
1990,HI,Other,472722,88,1344
1990,HI,Petroleum,15641598,70185,28379
1990,IA,All Sources,59908210,365531,304200
1990,IA,Coal,58757044,364916,301500
1990,IA,Natural Gas,1025578,2,2433
1990,IA,Other,2424,100,94
1990,IA,Petroleum,123164,514,174
1990,ID,All Sources,978086,17310,5354
1990,ID,Coal,632008,11084,3155
1990,ID,Natural Gas,342528,2,627
1990,ID,Other,0,6180,1566
1990,ID,Petroleum,3550,45,7
1990,IL,All Sources,121523230,1698346,671618
1990,IL,Coal,116673248,1690464,660009
1990,IL,Natural Gas,2700764,10,7005
1990,IL,Other,0,0,1827
1990,IL,Petroleum,2149218,7872,2776
1990,IN,All Sources,198157188,2553567,979374
1990,IN,Coal,191201904,2546474,968032
1990,IN,Natural Gas,3743726,14,7647
1990,IN,Other,599070,228,1814
1990,IN,Petroleum,2612488,6851,1880
1990,KS,All Sources,55034092,156996,249358
1990,KS,Coal,51540446,154662,240250
1990,KS,Natural Gas,3341114,12,8338
1990,KS,Petroleum,152532,2320,772
1990,KY,All Sources,133382312,1637062,601954
1990,KY,Coal,133170532,1636678,601704
1990,KY,Natural Gas,30620,0,72
1990,KY,Petroleum,181160,384,178
1990,LA,All Sources,89965830,223643,303255
1990,LA,Coal,37895456,181319,165656
1990,LA,Natural Gas,51662594,256,110247
1990,LA,Other,0,35643,26681
1990,LA,Petroleum,407780,6425,670
1990,MA,All Sources,55631864,423787,152957
1990,MA,Coal,20949602,181512,87632
1990,MA,Natural Gas,7313462,33,16438
1990,MA,Other,2039582,1667,5361
1990,MA,Petroleum,25329218,240577,43526
1990,MD,All Sources,54699330,539293,204736
1990,MD,Coal,44213432,481702,182911
1990,MD,Natural Gas,2453306,11,5668
1990,MD,Other,588942,4700,2699
1990,MD,Petroleum,7443650,52880,13458
1990,ME,All Sources,10409332,104967,28604
1990,ME,Coal,1463878,10114,5185
1990,ME,Natural Gas,20870,0,201
1990,ME,Other,464450,16189,9869
1990,ME,Petroleum,8460134,78664,13348
1990,MI,All Sources,143510176,765480,621135
1990,MI,Coal,130385730,725852,591312
1990,MI,Natural Gas,10555728,55,21207
1990,MI,Other,525042,8097,4323
1990,MI,Petroleum,2043676,31477,4296
1990,MN,All Sources,63834158,203505,322198
1990,MN,Coal,61061860,190923,311590
1990,MN,Natural Gas,1414416,2,3597
1990,MN,Other,376128,12033,6804
1990,MN,Petroleum,981754,548,207
1990,MO,All Sources,97410054,1448016,524815
1990,MO,Coal,96757240,1441571,522810
1990,MO,Natural Gas,466592,2,1232
1990,MO,Petroleum,186222,6443,773
1990,MS,All Sources,29553088,239146,106271
1990,MS,Coal,18546286,192955,74012
1990,MS,Natural Gas,9625368,50,22337
1990,MS,Other,0,24899,7585
1990,MS,Petroleum,1381434,21242,2337
1990,MT,All Sources,32258082,34661,172428
1990,MT,Coal,31799228,32118,170671
1990,MT,Natural Gas,349634,2,792
1990,MT,Other,0,1612,829
1990,MT,Petroleum,109220,929,136
1990,NC,All Sources,97999754,727657,405441
1990,NC,Coal,96018348,686526,394100
1990,NC,Natural Gas,442222,2,1035
1990,NC,Other,20260,31690,7836
1990,NC,Petroleum,1518924,9439,2470
1990,ND,All Sources,56976508,266836,137840
1990,ND,Coal,56525788,265628,136810
1990,ND,Natural Gas,226636,2,640
1990,ND,Petroleum,224084,1206,388
1990,NE,All Sources,27115166,93986,156204
1990,NE,Coal,26710816,93880,155212
1990,NE,Natural Gas,377638,2,948
1990,NE,Petroleum,26712,106,44
1990,NH,All Sources,10173498,120873,38497
1990,NH,Coal,5696332,75001,30341
1990,NH,Other,205164,264,2176
1990,NH,Petroleum,4272002,45606,5979
1990,NJ,All Sources,27273624,142841,99385
1990,NJ,Coal,13708662,125413,70747
1990,NJ,Natural Gas,8758942,41,19428
1990,NJ,Other,307038,212,1532
1990,NJ,Petroleum,4498982,17176,7679
1990,NM,All Sources,56776860,108235,250939
1990,NM,Coal,53386026,108089,243146
1990,NM,Natural Gas,3327100,16,7614
1990,NM,Other,0,0,128
1990,NM,Petroleum,63734,130,52
1990,NV,All Sources,33390380,99154,138080
1990,NV,Coal,30170198,96636,130964
1990,NV,Geothermal,38844,0,0
1990,NV,Natural Gas,2666324,12,6188
1990,NV,Petroleum,515014,2506,928
1990,NY,All Sources,138176510,834188,386056
1990,NY,Coal,53339522,541521,211690
1990,NY,Natural Gas,26323816,128,60485
1990,NY,Other,2195090,16457,12712
1990,NY,Petroleum,56318082,276084,101170
1990,OH,All Sources,221214682,4027513,1006351
1990,OH,Coal,219131660,4015732,999162
1990,OH,Natural Gas,582262,0,1372
1990,OH,Other,18996,4045,3273
1990,OH,Petroleum,1481764,7735,2542
1990,OK,All Sources,73484108,205213,336992
1990,OK,Coal,52754978,198492,290123
1990,OK,Natural Gas,20427510,96,45027
1990,OK,Other,2820,4920,1425
1990,OK,Petroleum,298800,1704,419
1990,OR,All Sources,4110310,17745,17956
1990,OR,Coal,2987566,13220,12675
1990,OR,Natural Gas,916362,4,2053
1990,OR,Other,147984,4082,3100
1990,OR,Petroleum,58398,440,127
1990,PA,All Sources,218993602,2479276,906681
1990,PA,Coal,202353072,2338602,869869
1990,PA,Natural Gas,3791448,17,9402
1990,PA,Other,371554,4671,3990
1990,PA,Petroleum,12477528,135986,23421
1990,PR,Petroleum,0,0,0
1990,RI,All Sources,1197124,3282,4032
1990,RI,Natural Gas,821780,6,2316
1990,RI,Other,0,0,722
1990,RI,Petroleum,375344,3276,992
1990,SC,All Sources,47327604,361738,185162
1990,SC,Coal,45582038,330703,175606
1990,SC,Natural Gas,1008182,4,2336
1990,SC,Other,181140,18690,6081
1990,SC,Petroleum,556244,12342,1138
1990,SD,All Sources,5520846,56680,18520
1990,SD,Coal,5467536,56564,18430
1990,SD,Natural Gas,25826,0,42
1990,SD,Petroleum,27484,114,48
1990,TN,All Sources,106640248,1527587,477921
1990,TN,Coal,105313700,1520884,473109
1990,TN,Natural Gas,836942,4,1674
1990,TN,Other,274892,6068,2846
1990,TN,Petroleum,214714,631,289
1990,TX,All Sources,426112336,1137848,1325519
1990,TX,Coal,253137640,968965,942927
1990,TX,Natural Gas,167774260,811,361139
1990,TX,Other,9562,19387,12658
1990,TX,Petroleum,5190874,148687,8795
1990,UT,All Sources,58451876,57491,217982
1990,UT,Coal,58194026,57431,217400
1990,UT,Geothermal,7802,0,0
1990,UT,Natural Gas,178924,0,512
1990,UT,Petroleum,71124,62,71
1990,VA,All Sources,57593512,432656,229874
1990,VA,Coal,52319116,387942,213207
1990,VA,Natural Gas,1280574,4,2720
1990,VA,Other,793118,20402,8552
1990,VA,Petroleum,3200704,24310,5396
1990,VT,All Sources,81738,40,440
1990,VT,Natural Gas,75238,0,174
1990,VT,Other,0,14,253
1990,VT,Petroleum,6500,26,12
1990,WA,All Sources,17087152,135468,109699
1990,WA,Coal,15843172,114186,99272
1990,WA,Natural Gas,923408,4,2753
1990,WA,Other,0,18242,6889
1990,WA,Petroleum,320572,3038,787
1990,WI,All Sources,75080098,636943,376469
1990,WI,Coal,73295202,585236,362557
1990,WI,Natural Gas,785242,2,2518
1990,WI,Other,127172,34789,9483
1990,WI,Petroleum,872482,16919,1908
1990,WV,All Sources,144333152,1755406,611111
1990,WV,Coal,143281508,1752500,609216
1990,WV,Natural Gas,339812,2,812
1990,WV,Petroleum,711832,2904,1084
1990,WY,All Sources,82584322,198196,370390
1990,WY,Coal,82087370,196614,369089
1990,WY,Natural Gas,368976,2,1062
1990,WY,Other,0,1244,88
1990,WY,Petroleum,127976,336,150
1991,AK,All Sources,8141882,24258,25561
1991,AK,Coal,3028164,18523,12315
1991,AK,Natural Gas,4304264,22,11876
1991,AK,Other,0,1912,434
1991,AK,Petroleum,809454,3801,936
1991,AL,All Sources,114082412,1006502,466898
1991,AL,Coal,110546468,965272,450169
1991,AL,Natural Gas,2966782,14,5321
1991,AL,Other,0,36963,10583
1991,AL,Petroleum,569162,4251,824
1991,AR,All Sources,47396692,152059,222556
1991,AR,Coal,41219274,128736,202029
1991,AR,Natural Gas,6017174,30,14244
1991,AR,Other,37878,22845,6122
1991,AR,Petroleum,122366,446,162
1991,AZ,All Sources,66789144,237042,303840
1991,AZ,Coal,64101148,234860,297518
1991,AZ,Natural Gas,2531934,10,5808
1991,AZ,Other,0,1672,286
1991,AZ,Petroleum,156062,499,227
1991,CA,All Sources,100156518,104736,210709
1991,CA,Coal,8260666,63456,29952
1991,CA,Geothermal,734734,0,0
1991,CA,Natural Gas,85683116,418,153530
1991,CA,Other,902952,6915,19829
1991,CA,Petroleum,4575050,33947,7402
1991,CO,All Sources,61613312,178790,269014
1991,CO,Coal,59816386,178567,264842
1991,CO,Natural Gas,1720764,2,3725
1991,CO,Other,0,4,344
1991,CO,Petroleum,76162,218,104
1991,CT,All Sources,23519600,98383,62192
1991,CT,Coal,7120172,21368,28466
1991,CT,Natural Gas,1452008,8,3431
1991,CT,Other,1084520,1210,5273
1991,CT,Petroleum,13862900,75797,25024
1991,DC,All Sources,465752,2406,424
1991,DC,Petroleum,465752,2406,424
1991,DE,All Sources,16360162,99944,55955
1991,DE,Coal,10376752,75608,42114
1991,DE,Natural Gas,1669636,8,3999
1991,DE,Other,0,324,0
1991,DE,Petroleum,4313774,24004,9842
1991,FL,All Sources,196036980,1406927,622977
1991,FL,Coal,118231588,947483,462647
1991,FL,Natural Gas,23542644,113,53148
1991,FL,Other,3100314,59871,18996
1991,FL,Petroleum,51162434,399461,88186
1991,GA,All Sources,122746658,1545569,545556
1991,GA,Coal,117534660,1455505,520406
1991,GA,Natural Gas,2230996,10,4406
1991,GA,Other,58276,59632,16638
1991,GA,Petroleum,2922726,30424,4106
1991,HI,All Sources,13776148,53064,22145
1991,HI,Coal,32444,504,112
1991,HI,Other,500202,92,1172
1991,HI,Petroleum,13243502,52468,20862
1991,IA,All Sources,62161340,407022,322320
1991,IA,Coal,60838492,406642,319231
1991,IA,Natural Gas,1220854,2,2854
1991,IA,Other,1500,116,164
1991,IA,Petroleum,100494,262,70
1991,ID,All Sources,876266,12022,4090
1991,ID,Coal,319298,5406,1601
1991,ID,Natural Gas,485662,2,842
1991,ID,Other,70894,6611,1647
1991,ID,Petroleum,412,4,0
1991,IL,All Sources,123760084,1613639,672458
1991,IL,Coal,117490702,1602473,658785
1991,IL,Natural Gas,3226886,11,7804
1991,IL,Other,23306,34,2158
1991,IL,Petroleum,3019190,11121,3713
1991,IN,All Sources,197144318,2667312,977140
1991,IN,Coal,192209592,2660376,968095
1991,IN,Natural Gas,2630266,11,5710
1991,IN,Other,542380,200,1572
1991,IN,Petroleum,1762080,6726,1764
1991,KS,All Sources,55307254,138642,248080
1991,KS,Coal,50923054,138146,237036
1991,KS,Natural Gas,4228414,18,10871
1991,KS,Petroleum,155786,478,172
1991,KY,All Sources,135600996,1581418,612704
1991,KY,Coal,135381448,1581100,612464
1991,KY,Natural Gas,24612,0,60
1991,KY,Petroleum,194936,318,180
1991,LA,All Sources,89972730,235027,296614
1991,LA,Coal,40053414,195841,177610
1991,LA,Natural Gas,49798886,244,103238
1991,LA,Other,0,38506,15624
1991,LA,Petroleum,120430,436,142
1991,MA,All Sources,57347418,437047,153211
1991,MA,Coal,21814638,189728,88769
1991,MA,Natural Gas,7147712,32,14313
1991,MA,Other,2163746,1129,5629
1991,MA,Petroleum,26221322,246156,44500
1991,MD,All Sources,53969464,499178,191958
1991,MD,Coal,42904050,431923,169740
1991,MD,Natural Gas,2490632,11,5715
1991,MD,Other,587250,4869,2663
1991,MD,Petroleum,7987532,62375,13842
1991,ME,All Sources,8953288,95868,28957
1991,ME,Coal,2166730,8103,7749
1991,ME,Natural Gas,19606,0,221
1991,ME,Other,553582,18934,10746
1991,ME,Petroleum,6213370,68830,10243
1991,MI,All Sources,144047802,772893,622710
1991,MI,Coal,130669322,735712,593947
1991,MI,Natural Gas,10833924,56,20485
1991,MI,Other,746772,8493,4889
1991,MI,Petroleum,1797784,28632,3388
1991,MN,All Sources,61302720,180291,346870
1991,MN,Coal,57890376,165088,335105
1991,MN,Natural Gas,1968196,6,4727
1991,MN,Other,243766,14984,6953
1991,MN,Petroleum,1200382,214,86
1991,MO,All Sources,97890512,1362553,531164
1991,MO,Coal,96197308,1354282,526657
1991,MO,Natural Gas,1440824,4,3574
1991,MO,Petroleum,252380,8269,932
1991,MS,All Sources,27031494,216202,98927
1991,MS,Coal,16914916,177801,68270
1991,MS,Natural Gas,9319880,43,21742
1991,MS,Other,0,27834,7776
1991,MS,Petroleum,796698,10524,1140
1991,MT,All Sources,35007828,41419,189109
1991,MT,Coal,34634046,36988,186892
1991,MT,Natural Gas,313354,2,716
1991,MT,Other,0,4288,1436
1991,MT,Petroleum,60428,142,66
1991,NC,All Sources,99248278,708916,408390
1991,NC,Coal,97597908,680354,400783
1991,NC,Natural Gas,587412,2,1300
1991,NC,Other,65504,21491,4962
1991,NC,Petroleum,997454,7068,1342
1991,ND,All Sources,57962780,345503,140046
1991,ND,Coal,57709594,344176,139615
1991,ND,Natural Gas,5274,0,12
1991,ND,Petroleum,247912,1326,418
1991,NE,All Sources,28898608,97212,151406
1991,NE,Coal,28503708,97174,150464
1991,NE,Natural Gas,368606,2,928
1991,NE,Petroleum,26294,36,12
1991,NH,All Sources,9287520,86536,38804
1991,NH,Coal,6143052,60340,32926
1991,NH,Other,202304,232,1807
1991,NH,Petroleum,2942164,25963,4071
1991,NJ,All Sources,28554348,119427,93604
1991,NJ,Coal,10387970,103901,56543
1991,NJ,Natural Gas,12721770,54,24592
1991,NJ,Other,1055578,1425,3700
1991,NJ,Petroleum,4389030,14046,8768
1991,NM,All Sources,48710982,91470,193699
1991,NM,Coal,45337322,91436,185879
1991,NM,Natural Gas,3315104,14,7643
1991,NM,Other,0,0,128
1991,NM,Petroleum,58556,20,48
1991,NV,All Sources,35806140,99852,149498
1991,NV,Coal,32824558,98155,143188
1991,NV,Geothermal,50882,0,0
1991,NV,Natural Gas,2495134,10,5602
1991,NV,Other,0,0,8
1991,NV,Petroleum,435566,1687,700
1991,NY,All Sources,129833948,799293,375814
1991,NY,Coal,54217328,527634,211846
1991,NY,Natural Gas,26448714,135,63490
1991,NY,Other,2223680,17057,12117
1991,NY,Petroleum,46944226,254468,88359
1991,OH,All Sources,226309046,4091966,1015397
1991,OH,Coal,223726942,4077192,1006722
1991,OH,Natural Gas,777870,2,1791
1991,OH,Other,0,5806,3883
1991,OH,Petroleum,1804234,8966,3001
1991,OK,All Sources,79463016,212871,337976
1991,OK,Coal,58685462,206524,293535
1991,OK,Natural Gas,20522782,98,42981
1991,OK,Other,0,4853,1124
1991,OK,Petroleum,254772,1398,336
1991,OR,All Sources,7703594,24273,31370
1991,OR,Coal,5998150,19445,25214
1991,OR,Natural Gas,1500368,8,3365
1991,OR,Other,159768,4452,2738
1991,OR,Petroleum,45308,369,55
1991,PA,All Sources,217633754,2449053,878036
1991,PA,Coal,202925508,2302649,843100
1991,PA,Natural Gas,3071560,10,7129
1991,PA,Other,924114,4808,6924
1991,PA,Petroleum,10712572,141587,20883
1991,RI,All Sources,2882754,1276,3331
1991,RI,Natural Gas,2631388,12,2312
1991,RI,Other,0,0,664
1991,RI,Petroleum,251366,1262,354
1991,SC,All Sources,48117968,351038,190428
1991,SC,Coal,46172620,321206,180411
1991,SC,Natural Gas,1350612,8,3130
1991,SC,Other,195378,20910,5784
1991,SC,Petroleum,399358,8916,1103
1991,SD,All Sources,5999524,59202,20244
1991,SD,Coal,5950816,59190,20192
1991,SD,Natural Gas,18938,0,48
1991,SD,Petroleum,29770,12,6
1991,TN,All Sources,100654108,1453327,443423
1991,TN,Coal,99338054,1445476,438502
1991,TN,Natural Gas,781186,2,1543
1991,TN,Other,241850,7170,3101
1991,TN,Petroleum,293018,679,276
1991,TX,All Sources,424729966,1123398,1384336
1991,TX,Coal,253167292,988148,1009757
1991,TX,Natural Gas,167010060,815,353623
1991,TX,Other,0,19440,13919
1991,TX,Petroleum,4552614,114995,7038
1991,UT,All Sources,55532014,51128,209166
1991,UT,Coal,54769472,51096,207428
1991,UT,Geothermal,9570,0,0
1991,UT,Natural Gas,682746,2,1673
1991,UT,Petroleum,70226,31,64
1991,VA,All Sources,61581332,468186,236456
1991,VA,Coal,53893580,410522,216590
1991,VA,Natural Gas,1965206,8,3353
1991,VA,Other,1081050,20674,8968
1991,VA,Petroleum,4641496,36982,7544
1991,VT,All Sources,127462,18,575
1991,VT,Natural Gas,114524,0,274
1991,VT,Other,0,18,301
1991,VT,Petroleum,12938,0,0
1991,WA,All Sources,17534774,127811,112644
1991,WA,Coal,16633550,116072,105665
1991,WA,Natural Gas,627500,4,2292
1991,WA,Other,48822,9221,4023
1991,WA,Petroleum,224902,2514,662
1991,WI,All Sources,78068492,656971,378502
1991,WI,Coal,75852344,607347,364277
1991,WI,Natural Gas,1442958,10,4209
1991,WI,Other,78852,34832,8445
1991,WI,Petroleum,694338,14784,1572
1991,WV,All Sources,134310008,1941037,566109
1991,WV,Coal,133751454,1939303,565195
1991,WV,Natural Gas,154658,0,360
1991,WV,Other,0,0,6
1991,WV,Petroleum,403896,1734,548
1991,WY,All Sources,80522224,154884,362844
1991,WY,Coal,80109674,153595,361878
1991,WY,Natural Gas,304182,2,800
1991,WY,Other,0,1211,88
1991,WY,Petroleum,108368,77,76
1992,AK,All Sources,7889722,21294,24933
1992,AK,Coal,2961422,18420,12209
1992,AK,Natural Gas,4131796,18,11425
1992,AK,Other,0,2350,530
1992,AK,Petroleum,796504,505,768
1992,AL,All Sources,120890178,1019079,490229
1992,AL,Coal,116662006,975818,471573
1992,AL,Natural Gas,3416104,18,6258
1992,AL,Other,0,41437,11604
1992,AL,Petroleum,812068,1806,794
1992,AR,All Sources,48328704,150913,223133
1992,AR,Coal,41993520,127392,201486
1992,AR,Natural Gas,6215386,32,14774
1992,AR,Other,33898,23083,6765
1992,AR,Petroleum,85900,404,107
1992,AZ,All Sources,71696386,240807,308089
1992,AZ,Coal,68151562,238669,300115
1992,AZ,Natural Gas,3411534,18,7479
1992,AZ,Other,0,1778,304
1992,AZ,Petroleum,133290,342,191
1992,CA,All Sources,115962298,129203,212324
1992,CA,Coal,9266650,69426,34132
1992,CA,Geothermal,734194,0,0
1992,CA,Natural Gas,100233826,481,150545
1992,CA,Other,931578,7889,19805
1992,CA,Petroleum,4796050,51408,7847
1992,CO,All Sources,63587972,185260,262101
1992,CO,Coal,61675464,184820,257864
1992,CO,Natural Gas,1832834,2,3782
1992,CO,Other,0,172,346
1992,CO,Petroleum,79674,265,109
1992,CT,All Sources,19515246,70058,47185
1992,CT,Coal,7155960,18552,24526
1992,CT,Natural Gas,1331174,6,2901
1992,CT,Other,1566618,1412,6964
1992,CT,Petroleum,9461494,50089,12794
1992,DC,All Sources,232306,1046,186
1992,DC,Petroleum,232306,1046,186
1992,DE,All Sources,16014998,147064,44434
1992,DE,Coal,8555184,61566,33174
1992,DE,Natural Gas,919516,6,2200
1992,DE,Other,0,324,0
1992,DE,Petroleum,6540298,85168,9060
1992,FL,All Sources,194097184,1409394,622479
1992,FL,Coal,119550270,981236,467517
1992,FL,Natural Gas,23598628,118,54914
1992,FL,Other,3924348,64390,20541
1992,FL,Petroleum,47023938,363650,79506
1992,GA,All Sources,119390470,1507240,492916
1992,GA,Coal,112819024,1438811,464782
1992,GA,Natural Gas,2122650,6,4108
1992,GA,Other,59874,60238,17412
1992,GA,Petroleum,4388922,8186,6613
1992,HI,All Sources,15670532,56441,27042
1992,HI,Coal,1206302,3757,4756
1992,HI,Geothermal,110,0,0
1992,HI,Other,505788,94,1359
1992,HI,Petroleum,13958332,52592,20927
1992,IA,All Sources,60340594,380949,295633
1992,IA,Coal,59179594,380496,292886
1992,IA,Natural Gas,1062412,4,2550
1992,IA,Other,2234,114,111
1992,IA,Petroleum,96354,336,85
1992,ID,All Sources,1303512,17464,6022
1992,ID,Coal,632008,11049,3159
1992,ID,Natural Gas,603156,2,1069
1992,ID,Other,57036,6411,1778
1992,ID,Petroleum,11312,2,15
1992,IL,All Sources,116879642,1622632,609596
1992,IL,Coal,111141146,1612344,596669
1992,IL,Natural Gas,3348928,14,8008
1992,IL,Other,119538,160,2255
1992,IL,Petroleum,2270030,10114,2665
1992,IN,All Sources,194548318,2275281,956134
1992,IN,Coal,189997316,2272864,946203
1992,IN,Natural Gas,2192304,11,4928
1992,IN,Other,589824,208,1644
1992,IN,Petroleum,1768874,2200,3360
1992,KS,All Sources,50021054,119790,224296
1992,KS,Coal,48022492,119316,218974
1992,KS,Natural Gas,1886772,6,5167
1992,KS,Petroleum,111790,468,154
1992,KY,All Sources,137723318,1621278,616004
1992,KY,Coal,137527222,1620980,615798
1992,KY,Natural Gas,29144,0,66
1992,KY,Petroleum,166952,298,140
1992,LA,All Sources,93485516,318196,301212
1992,LA,Coal,41679490,200618,185428
1992,LA,Natural Gas,49412840,240,98361
1992,LA,Other,1392,37972,11880
1992,LA,Petroleum,2391794,79368,5543
1992,MA,All Sources,54253202,382069,139975
1992,MA,Coal,20244870,170039,81385
1992,MA,Natural Gas,8949260,42,17166
1992,MA,Other,2198338,1297,5889
1992,MA,Petroleum,22860734,210691,35535
1992,MD,All Sources,52523380,492113,190025
1992,MD,Coal,44610578,441428,174628
1992,MD,Natural Gas,1814060,8,3929
1992,MD,Other,601940,4882,2335
1992,MD,Petroleum,5496802,45794,9133
1992,ME,All Sources,9465174,43231,29917
1992,ME,Coal,2187690,8205,7896
1992,ME,Natural Gas,13554,0,115
1992,ME,Other,612704,18379,11566
1992,ME,Petroleum,6651226,16648,10340
1992,MI,All Sources,137217812,708596,589793
1992,MI,Coal,123049900,678800,559811
1992,MI,Natural Gas,11660942,51,21132
1992,MI,Other,774926,9057,5619
1992,MI,Petroleum,1732044,20690,3229
1992,MN,All Sources,62402190,208514,318219
1992,MN,Coal,58998438,192763,306267
1992,MN,Natural Gas,1692292,6,4106
1992,MN,Other,379462,15555,7727
1992,MN,Petroleum,1331998,190,119
1992,MO,All Sources,94967922,1247531,513058
1992,MO,Coal,94430126,1239973,511211
1992,MO,Natural Gas,354788,0,996
1992,MO,Petroleum,183008,7557,851
1992,MS,All Sources,24069758,212026,85518
1992,MS,Coal,15309814,171802,58049
1992,MS,Natural Gas,7907614,37,18142
1992,MS,Other,0,29092,7977
1992,MS,Petroleum,852330,11094,1350
1992,MT,All Sources,36899632,42003,168835
1992,MT,Coal,36695932,40044,167863
1992,MT,Natural Gas,159442,0,361
1992,MT,Other,0,1915,585
1992,MT,Petroleum,44258,44,25
1992,NC,All Sources,114329794,803141,464618
1992,NC,Coal,111852250,770235,453470
1992,NC,Natural Gas,650524,2,1414
1992,NC,Other,65504,32283,7330
1992,NC,Petroleum,1761516,621,2405
1992,ND,All Sources,60266092,266652,145580
1992,ND,Coal,60034832,265572,145152
1992,ND,Natural Gas,7130,0,54
1992,ND,Petroleum,224130,1082,374
1992,NE,All Sources,26627826,97361,136502
1992,NE,Coal,26413566,97344,136030
1992,NE,Natural Gas,193494,0,462
1992,NE,Petroleum,20766,16,10
1992,NH,All Sources,9018546,102574,38535
1992,NH,Coal,6185784,77755,32922
1992,NH,Natural Gas,68432,0,186
1992,NH,Other,200308,166,1907
1992,NH,Petroleum,2564022,24649,3521
1992,NJ,All Sources,31024642,109021,92833
1992,NJ,Coal,10619088,100486,57233
1992,NJ,Natural Gas,16432534,72,26000
1992,NJ,Other,1219670,284,3988
1992,NJ,Petroleum,2753350,8177,5611
1992,NM,All Sources,54836038,105824,215535
1992,NM,Coal,51757954,105787,208716
1992,NM,Natural Gas,3015020,12,6734
1992,NM,Other,0,0,34
1992,NM,Petroleum,63064,23,50
1992,NV,All Sources,37138228,105007,154469
1992,NV,Coal,32728240,102602,146612
1992,NV,Geothermal,56826,0,0
1992,NV,Natural Gas,3787554,20,6813
1992,NV,Other,0,0,90
1992,NV,Petroleum,565608,2384,952
1992,NY,All Sources,120134458,712237,357110
1992,NY,Coal,56735568,545094,215033
1992,NY,Natural Gas,29853562,156,70152
1992,NY,Other,2448506,14779,13253
1992,NY,Petroleum,31096822,152211,58673
1992,OH,All Sources,230246764,4010712,1019743
1992,OH,Coal,227803720,3999114,1011846
1992,OH,Natural Gas,727622,2,1684
1992,OH,Other,18996,4634,3498
1992,OH,Petroleum,1696426,6962,2717
1992,OK,All Sources,80327246,218812,318286
1992,OK,Coal,61647900,214316,279932
1992,OK,Natural Gas,18381744,89,36946
1992,OK,Other,2904,4283,1011
1992,OK,Petroleum,294698,123,397
1992,OR,All Sources,9812340,34075,35074
1992,OR,Coal,7683810,29911,28785
1992,OR,Natural Gas,1948010,10,4157
1992,OR,Other,138234,4099,2091
1992,OR,Petroleum,42286,56,40
1992,PA,All Sources,216876284,2363385,865978
1992,PA,Coal,205583750,2297664,835470
1992,PA,Natural Gas,3331608,10,7560
1992,PA,Other,1660616,5786,10436
1992,PA,Petroleum,6300310,59927,12513
1992,RI,All Sources,4649916,1856,4671
1992,RI,Natural Gas,4290176,21,3354
1992,RI,Other,0,0,722
1992,RI,Petroleum,359740,1835,596
1992,SC,All Sources,46471490,333527,188434
1992,SC,Coal,45546802,310766,180634
1992,SC,Natural Gas,380804,0,864
1992,SC,Other,196226,22294,5950
1992,SC,Petroleum,347658,466,987
1992,SD,All Sources,5615626,57834,18856
1992,SD,Coal,5593898,57816,18840
1992,SD,Natural Gas,5184,0,10
1992,SD,Petroleum,16544,16,6
